question,choice_a,choice_b,choice_c,choice_d,answer
コンビューターが＿＿＿＿＿＿,使える,使えまする,使われられます,使うません,A
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
"A:この図書館、雑誌も＿＿＿＿＿＿＿。
B:ええ、古い雑誌は大丈夫ですよ",借りられます,借りますか,借りれますか,借りられますか,D
"A:明日の朝７時に会社に＿＿＿＿か。
B:はい、分かりました。",来るます,来れません,来られます,来れない,C
"A:この図書館、雑誌も＿＿＿＿＿＿＿。
B:ええ、古い雑誌は大丈夫ですよ",借りられます,借りますか,借りれますか,借りられますか,D
２０歳なので、車に＿＿＿＿＿＿。,乗られます,乗ります,乗れます,できます,C
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
無料というのは、お金が＿＿＿＿＿＿です。,意味といういらない,いらない意味という,いらないという意味,という意味,C
"A : 節約とは何ですか？
B : お金を大切にする＿＿＿＿＿＿です",という意味,という物,というお金,という何,A
このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
この漢字、どうやって＿＿＿＿＿＿＿＿＿。,よんだらいいですか,よんでいいですか,よんでもいいですか,よんではいけません,A
料理の材料や飲み物は、このスーパーで全部＿＿＿＿＿しまいましょう。,買う,書いた,買いって,買って,D
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
これは折り紙という日本の＿＿＿＿＿です。,遊び,遊ぶ,遊びます,遊んで,A
私は上田さんに「何が好き？」と＿＿＿＿ました。,聞き,聞いて,聞こえ,聞かれ,D
"A:住所を＿＿＿＿なければなりませんか。
 B:いいえ、名前だけ書いて下さい。",書き,書いて,書か,書く,C
知らない人に道を＿＿＿＿＿＿。,頼みました,頼まれました,頼ませました,頼りられました,B
ピアノが上手に弾けたので、先生に________。,褒めました,褒めていました,褒めさせました,褒められました,D
来週、東京で国際会議が＿＿＿＿＿＿。,開かれます,開きます,開かせます,開けられます,A
授業中に寝ていたので、先生に＿＿＿＿＿＿。,叱られました,叱りました,叱らせました,叱りられました,A
この小説は有名な作家によって＿＿＿＿＿＿。,書かれました,書きました,書かせました,書きられました,A
部長に急な仕事を＿＿＿＿＿＿、残業することになった。,頼ませた,頼んだ,頼まれた,頼られた,C
週末、友達に映画に＿＿＿＿＿＿。,誘われました,誘いました,誘わせました,誘られました,A
友人の結婚式に＿＿＿＿＿＿。,招待しました,招待させました,招待されました,招待られました,C
あの子は雨が降っているのに外で遊んでいます,で,だから,ので,のに,D
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
熱が無かったら、お風呂に＿＿もいいです。,入り,入いて,入って,入る,C
兄：これ、貰ったんだけど、使わないから、＿＿＿＿弟：ありがとう。,あげた,やるよ,もらった,くれた,B
A:テストの前は、たくさん＿＿＿ほうがいいと思います。B:そうですね。でも、テストのとき、眠くなったら困りますから、前の日は早く＿＿＿＿＿ほうがいいと思います。,勉強した,寝た,勉強する,寝る,B
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,D
雨が降りそうだから、傘を＿＿＿＿ほうがいいですよ。,持って,持って行く,持って行った,持っていく,B
土曜日は学校へ______れもいいです,行け,行ける,行く,行かなくても,D
このプリントは宿題ではありませんから＿＿＿＿＿もいいです。,出して,出す,出さなくても,出せなくて,C
私の国では家の中に入るとき、靴を______もいいです。,脱いで,脱がなくて,脱げる,脱げなくて,B
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
私は昨日妹にゲームを＿＿＿＿＿＿＿,買ってあげました,買ってもらいました,買っていただきました,買ってやりました,A
私は先生に国のお土産を＿＿＿＿＿＿,やりました,あげました,さしあげました。,いただきました,C
A:このカタログ、もらってもいいんですか。B:はい。どうぞ。皆さんに＿＿＿＿＿＿＿,やっています,あげています,いただいています,さしあげています。,D
私は先生に国のお土産を＿＿＿＿＿＿,やりました,あげました,さしあげました。,いただきました,C
A:このカタログ、もらってもいいんですか。B:はい。どうぞ。皆さんに＿＿＿＿＿＿＿,やっています,あげています,いただいています,さしあげています。,D
病気が治るまで、お酒は＿＿＿＿ほうがいいですよ。,飲んだ,飲まない,飲んでない,飲んだら,B
作文、上手に______もかまいませんから、自分で書いて臭い。,書けなくて,書けなくても,書けそうも,書く,B
私の国では家の中に入るとき、靴を______もいいです。,脱いで,脱がなくて,脱げる,脱げなくて,B
熱が下がったら、この薬を＿＿＿＿もいいです。,飲む,飲んで,飲まなくても,飲める,C
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,D
"兄：これ、貰ったんだけど、使わないから、＿＿＿＿
弟：ありがとう。",あげた,やるよ,もらった,くれた,B
A:このズボンも洗濯しますか。B:それ＿＿＿＿もいいです。,洗って,洗わなくても,洗う,洗えなくて,B
私は昨日妹にゲームを＿＿＿＿＿＿＿,買ってあげました,買ってもらいました,買っていただきました,買ってやりました,A
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,B
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
タバコを＿＿＿＿ことにしました。,吸わない,吸う,吸った,吸える,A
最近、目が悪かったので、メガネを_____ることにしました。,つける,する,掛ける,かける,C
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
日本では、車は道の左側を_____なければなりませんから、大変です。,走り,走る,走ら,走れ,C
リンさんは歌が上手＿＿＿＿、皆の前で歌いません。,なのに,ので,だから,のに,A
この小説は有名な作家によって＿＿＿＿＿＿。,書かれました,書きました,書かせました,書きられました,A
毎日自分で料理を＿＿＿ことにしました,作らない,作る,作った,作るの,B
佐藤さんの電話番号は_____か、忘れてしました。,いくつ,何番,何だ,何で,B
いい______と、ここから富士山が見えます。,天気で,天気な,天気なら,天気だ,D
すぐ______と、間に合いまによ,行く,行くなら,行かない,行っても,C
私は一度も納豆を____ことがありません。,食べて,食べる,食べた,食べられ,C
＿＿＿＿＿＿と、仕事をするとき不便です。,パソコンが古い,古いパソコンを,古いパソコン,パソコンが古くて,C
私は日本の旅館に＿＿＿ことがあります。,泊まる,泊まった,泊まって,泊まれ,B
"A:テストの前は、たくさん勉強したほうがいいと思います。
B:そうですね。でも、テストのとき、眠くなったら困りますから、
前の日は早く＿＿＿＿＿ほうがいいと思います。",勉強した,寝た,勉強する,寝る,B
雨が降りそうだから、傘を＿＿＿＿ほうがいいですよ。,持って,持って行く,持って行った,持っていく,B
甘い物を＿＿＿＿ことにしました,食べられた,食べる,食べない,食べた,C
田中さんはどこへ______か、知っていますか,行く,行くの,行った,行ったん,C
毎朝５キロ＿＿＿＿ことにしました。,走った,走るの,走れた,走る,D
私は毎朝野菜ジュースを＿＿＿ことにしました。,飲んだ,飲むの,飲む,飲まない,C
マリアさんは、着物を＿＿＿ことがあります。,着る,着て,着た,着られ,C
雨が＿＿＿＿と、水が足りなくなります。,降る,降らない,降った,降るなら,B
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
田中さんはどこへ______か、知っていますか,行く,行くの,行った,行ったん,C
"A:テストの前は、たくさん勉強したほうがいいと思います。
B:そうですね。でも、テストのとき、眠くなったら困りますから、
前の日は早く＿＿＿＿＿ほうがいいと思います。",勉強した,寝た,勉強する,寝る,B
私は毎朝野菜ジュースを＿＿＿ことにしました。,飲んだ,飲むの,飲む,飲まない,C
雨が＿＿＿＿と、水が足りなくなります。,降る,降らない,降った,降るなら,B
"A:大学を卒業したら、大学院に行くんですか。
B:いいえ、国へ_____ことにしました。",帰る,帰らない,帰って,帰った,A
A:コヒー、何枚必要ですか。B:わかりません。何枚＿＿＿か、山田さんに聞いて下さい。,いる,必要,必要だ,必要の,B
毎日自分で料理を＿＿＿ことにしました,作らない,作る,作った,作るの,B
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
