question_number,question,choice_a,choice_b,choice_c,choice_d,answer
51,忘れる (Forget),忘れなれば,忘れらなければ,忘れるなければ,忘れなければ,D
52,覚える (Remember),覚えなければ,覚えなれば,覚えらなければ,覚えるなければ,A
53,要る (Need),いれなければ,いらなければ,いりなければ,いらなれば,B
54,置く (Put),置きなければ,置かなれば,置けなければ,置かなければ,D
55,切る (Cut),切りなければ,切らなければ,切れなければ,切らなれば,B
56,消す (Turn off),消しなければ,消せなければ,消さなければ,消さなけば,C
57,消える (Go out/Extinguish),消えなれば,消えらなければ,消えるなければ,消えなければ,D
58,押す (Push),押さなければ,押しなければ,押せなければ,押さなけば,A
59,引く (Pull),引けなければ,引かなければ,引きなければ,引かなれば,B
60,乗る (Ride),乗りなければ,乗れなければ,乗らなければ,乗らなれば,C
62,着る,着なければ,着らなければ,着なれば,着なければば,A
63,脱ぐ,脱ぎなければ,脱がなければ,脱げなければ,脱がなければば,B
64,洗う,洗わなけば,洗わなければば,洗わなければ,洗あなければ,C
65,掃除する,掃除しなれば,掃除したなければ,掃除すらなければ,掃除しなければ,D
66,洗濯する,洗濯しなければ,洗濯しなれば,洗濯したなければ,洗濯すらなければ,A
67,晴れる,晴れらなければ,晴れなければ,晴れなれば,晴れなければば,B
68,降る,降れなければ,降らなければば,降らなければ,降りなければ,C
69,始まる,始まりなければ,始まれなければ,始まらなければば,始まらなければ,D
70,終わる,終わらなければ,終わりなければ,終われなければ,終わらなければば,A
71,返す,返しなければ,返さなければ,返せなければ,返さなけば,B
72,撮る,撮りなければ,撮れなければ,撮らなければ,撮らなければば,C
73,取る,取りなければ,取れなければ,取らなければば,取らなければ,D
74,持つ,持たなければ,持たなれば,持ちなければ,持たなければば,A
75,持って行く,持って行きなければ,持って行かなければ,持って行けなければ,持って行かなければば,B
76,持って来る,持ってこなければ,持ってきなければ,持って来なければ,持ってこなければ,C
77,分かれる,分かれなれば,分かれらなければ,分かれなければば,分かれなければ,D
78,困る,困らなければ,困りなければ,困れなければ,困らなければば,A
79,死ぬ,死ねなければ,死ななければ,死になければ,死ななければば,B
80,曲がる,曲がりなければ,曲がれなければ,曲がらなければ,曲がらなければば,C
81,鳴く,鳴けなければ,鳴かなければば,鳴きなければ,鳴かなければ,D
82,笑う,笑わなければ,笑わなけば,笑わなければば,笑あなければ,A
83,泣く,泣きなければ,泣かなければ,泣けなければ,泣かなければば,B
84,探す,探しなければ,探せなければ,探さなければ,探さなけば,C
85,住む,住みなければ,住めなければ,住まなければば,住まなければ,D
86,吸う,吸わなければ,吸わなけば,吸わなければば,吸あなければ,A
87,聞こえる,聞こえらなければ,聞こえなければ,聞こえなれば,聞こえなければば,B
88,見える,見えなれば,見えらなければ,見えなければ,見えなければば,C
89,立てる,立てらなければ,立てなれば,立てなければば,立てなければ,D
90,入れる,入れなければ,入れなれば,入れらなければ,入れなければば,A
91,出す,出しなければ,出さなければ,出せなければ,出さなけば,B
92,見つける,見つけなれば,見つけらなければ,見つけなければ,見つけなければば,C
93,かかる,かかれなければ,かかりなければ,かからなければば,かからなければ,D
94,頑張る,頑張らなければ,頑張りなければ,頑張れなければ,頑張らなければば,A
95,練習する,練習したなければ,練習しなければ,練習すらなければ,練習しなれば,B
96,散歩する,散歩しなれば,散歩したなければ,散歩しなければ,散歩すらなければ,C
97,結婚する,結婚したなければ,結婚すらなければ,結婚しなれば,結婚しなければ,D
98,旅行する,旅行しなければ,旅行しなれば,旅行したなければ,旅行すらなければ,A
99,有る,あらなければ,なければ,ありなければ,あななければ,B
100,成る,なりなければ,なれなければ,ならなければ,ならなければば,C
101,要る,いれなければ,いらなければば,いりなければ,いらなければ,D
102,頑張る,頑張らなければ,頑張りなければ,頑張れなければ,頑張らなければば,A
103,練習する,練習しなれば,練習しなければ,練習したなければ,練習すらなければ,B
104,散歩する,散歩しなれば,散歩したなければ,散歩しなければ,散歩すらなければ,C
105,結婚する,結婚したなければ,結婚すらなければ,結婚しなれば,結婚しなければ,D
106,旅行する,旅行しなければ,旅行しなれば,旅行したなければ,旅行すらなければ,A
107,有る,あらなければ,なければ,ありなければ,あななければ,B
108,成る,なりなければ,なれなければ,ならなければ,ならなければば,C
