question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
30,ませんでした,座る,座らない,座りません,座りました,座りませんでした,D
31,ませんでした,歩く,歩きませんでした,歩かない,歩きません,歩いた,A
32,ませんでした,走る,走らない,走りません,走りませんでした,走った,C
33,ませんでした,入る,入らない,入りませんでした,入りません,入った,B
34,ませんでした,出る,出ない,出ません,出ました,出ませんでした,D
35,ませんでした,開ける,開けませんでした,開けない,開けません,開けた,A
36,ませんでした,開く,開かない,開きません,開きませんでした,開いた,C
37,ませんでした,閉める,閉めない,閉めませんでした,閉めません,閉めた,B
38,ませんでした,閉まる,閉まらない,閉まりません,閉まりました,閉まりませんでした,D
39,ませんでした,見せる,見せませんでした,見せない,見せません,見せた,A
40,ませんでした,貸す,貸さない,貸しません,貸しませんでした,貸した,C
41,ませんでした,借りる,借りない,借りませんでした,借りません,借りた,B
42,ませんでした,教える,教えない,教えません,教えました,教えませんでした,D
43,ませんでした,習う,習いませんでした,習わない,習いません,習った,A
44,ませんでした,分かる,分からない,分かりません,分かりませんでした,分かった,C
45,ませんでした,分ける,分けない,分けませんでした,分けません,分けた,B
46,ませんでした,忘れる,忘れない,忘れました,忘れません,忘れませんでした,D
47,ませんでした,覚える,覚えませんでした,覚えない,覚えません,覚えた,A
48,ませんでした,要る,要らない,要りません,要りませんでした,要った,C
49,ませんでした,置く,置かない,置きませんでした,置きません,置いた,B
50,ませんでした,切る,切らない,切りません,切りました,切りませんでした,D
51,ませんでした,消す,消しませんでした,消さない,消しません,消した,A
52,ませんでした,消える,消えない,消えません,消えませんでした,消えた,C
53,ませんでした,押す,押さない,押しませんでした,押しません,押した,B
54,ませんでした,引く,引かない,引きません,引きました,引きませんでした,D
55,ませんでした,乗る,乗りませんでした,乗らない,乗りません,乗った,A
56,ませんでした,降りる,降りない,降りません,降りませんでした,降りた,C
57,ませんでした,着る,着ない,着ませんでした,着ません,着た,B
58,ませんでした,脱ぐ,脱がない,脱ぎません,脱ぎました,脱ぎませんでした,D
59,ませんでした,洗う,洗いませんでした,洗わない,洗いません,洗った,A
60,ませんでした,掃除する,掃除しない,掃除しません,掃除しませんでした,掃除した,C
61,ませんでした,洗濯する,洗濯しない,洗濯しませんでした,洗濯しません,洗濯した,B
62,ませんでした,晴れる,晴れない,晴れません,晴れました,晴れませんでした,D
63,ませんでした,降る,降りませんでした,降らない,降りません,降った,A
64,ませんでした,いる（要る）,要らない,要りません,要りませんでした,要った,C
65,ませんでした,始まる,始まらない,始まりませんでした,始まりません,始まった,B
66,ませんでした,終わる,終わらない,終わりません,終わりました,終わりませんでした,D
67,ませんでした,返す,返しませんでした,返さない,返しません,返した,A
68,ませんでした,帰る,帰らない,帰りました,帰りませんでした,帰った,C
69,ませんでした,撮る,撮らない,撮りませんでした,撮りません,撮った,B
70,ませんでした,取る,取らない,取りません,取りました,取りませんでした,D
71,ませんでした,持つ,持ちませんでした,持たない,持ちません,持った,A
72,ませんでした,持って行く,持って行かない,持って行きません,持って行きませんでした,持って行った,C
73,ませんでした,持って来る,持ってこない,持ってきませんでした,持ってきません,持ってきた,B
74,ませんでした,分かれる,分かれない,分かれません,分かれました,分かれませんでした,D
75,ませんでした,困る,困りませんでした,困らない,困りません,困った,A
76,ませんでした,死ぬ,死なない,死にません,死にませんでした,死んだ,C
77,ませんでした,曲がる,曲がらない,曲がりませんでした,曲がりません,曲がった,B
78,ませんでした,開ける,開けない,開けません,開けました,開けませんでした,D
79,ませんでした,閉める,閉めませんでした,閉めない,閉めません,閉めた,A
80,ませんでした,押す,押さない,押しません,押しませんでした,押した,C
81,ませんでした,鳴く,鳴かない,鳴きませんでした,鳴きません,鳴いた,B
82,ませんでした,笑う,笑わない,笑いません,笑いました,笑いませんでした,D
83,ませんでした,泣く,泣きませんでした,泣かない,泣きません,泣いた,A
84,ませんでした,探す,探さない,探しません,探しませんでした,探した,C
85,ませんでした,住む,住まない,住みませんでした,住みません,住んだ,B
86,ませんでした,吸う,吸わない,吸いません,吸いました,吸いませんでした,D
87,ませんでした,使う,使いませんでした,使わない,使いません,使った,A
88,ませんでした,聞こえる,聞こえない,聞こえません,聞こえませんでした,聞こえた,C
89,ませんでした,見える,見えない,見えませんでした,見えません,見えた,B
90,ませんでした,立てる,立てない,立てません,立てました,立てませんでした,D
91,ませんでした,入れる,入れませんでした,入れない,入れません,入れた,A
92,ませんでした,出す,出さない,出しません,出しませんでした,出した,C
93,ませんでした,消す,消さない,消しませんでした,消しません,消した,B
94,ませんでした,見つける,見つけない,見つけません,見つけました,見つけませんでした,D
95,ませんでした,かかる,かかりませんでした,かからない,かかりません,かかった,A
96,ませんでした,要る,要らない,要りません,要りませんでした,要った,C
97,ませんでした,頑張る,頑張らない,頑張りませんでした,頑張りません,頑張った,B
98,ませんでした,練習する,練習しない,練習しません,練習しました,練習しませんでした,D
99,ませんでした,散歩する,散歩しませんでした,散歩しない,散歩しません,散歩した,A
100,ませんでした,結婚する,結婚しない,結婚しません,結婚しませんでした,結婚した,C
101,ませんでした,旅行する,旅行しない,旅行しませんでした,旅行しません,旅行した,B
102,ませんでした,有る,有らない,有りません,有りました,有りませんでした,D
103,ませんでした,成る,成りませんでした,成らない,成りません,成った,A
104,ます,ある,ありまう,ありました,あるます,あります,D
105,ます,いる,いります,いません,います,いるます,C
106,ます,行く,行きる,行かます,行きます,行きたます,C
107,ます,来る,来ます,来みます,来めます,来ります,A
108,ます,帰る,帰りません,帰ります,帰りまする,帰るます,B
109,ます,見る,見ります,見ませます,見ります,見ます,D
110,ます,聞く,聞きません,聞きます,聞きります,聞きませんでした,B
111,ます,話す,話しません,話さます,話します,話しします,C
112,ます,言う,言ういます,言うません,言あます,言います,D
113,ます,読む,読みます,読まます,読もます,読みません,A
114,ます,書く,書かます,書きます,書けます,書くます,B
115,ます,食べる,食ばます,食びます,食ばます,食べます,D
116,ます,飲む,飲もます,飲みます,飲めます,飲まます,B
117,ます,寝る,寝ます,寝めます,寝みます,寝みす,A
118,ます,起きる,起きます,起かます,起けます,起こます,A
119,ます,する,しみます,さます,します,せます,C
120,ます,勉強する,勉強そます,勉強せます,勉強さます,勉強します,D
121,ます,働く,働かます,働きます,働けます,働くます,B
122,ます,休む,休もます,休めます,休みます,休まます,C
123,ます,会う,会おます,会えます,会います,会あます,C
124,ます,買う,買おます,買います,買あます,買えます,B
125,ます,売る,売ります,売らます,売ろます,売らます,A
126,ます,作る,作らます,作ります,作ろます,作れます,B
127,ます,使う,使えます,使あます,使おます,使います,D
128,ます,泳ぐ,泳じます,泳げます,泳ぎます,泳がます,C
129,ます,遊ぶ,遊ばます,遊びます,遊べます,遊ぽます,B
130,ます,歌う,歌おます,歌います,歌あます,歌かます,B
131,ます,待つ,待ちます,待ちゃます,待きます,待います,A
132,ます,立つ,立あます,立こます,立ちます,立います,C
133,ます,座る,座れます,座ろます,座らます,座ります,D
134,ます,歩く,歩けます,歩こます,歩かます,歩きます,D
135,ます,走る,走れます,走ろます,走ります,走らます,C
136,ます,入る,入らます,入ります,入れます,入ろます,B
137,ます,出る,出ます,出めす,出でます,出めます,A
138,ます,開ける,開かます,開けます,開かます,開こます,B
139,ます,開く,開かます,開こます,開きます,開けます,C
140,ます,閉める,閉もます,閉まます,閉めます,閉みます,C
141,ます,閉まる,閉まらます,閉まります,閉まれます,閉まろます,B
142,ます,見せる,見せます,見さます,見そます,見すます,A
143,ます,貸す,貸すます,貸そます,貸さます,貸します,D
144,ます,借りる,借れます,借ろます,借らます,借ります,D
145,ます,教える,教えます,教おます,教うます,教います,A
146,ます,習う,習あます,習います,習うます,習えます,B
147,ます,分かる,分かろます,分かれます,分からます,分かります,D
148,ます,分ける,分かます,分けます,分こます,分らます,B
149,ます,忘れる,忘れます,忘ります,忘ろます,忘るます,A
150,ます,覚える,覚います,覚あます,覚えます,覚おます,C
151,ます,要る,いれます,いろます,いります,いらます,C
152,ます,置く,置きます,置かます,置こます,置こます,A
153,ます,切る,切ります,切らます,切れます,切ろます,A
154,ます,消す,消さます,消します,消せます,消すます,B
155,ます,消える,消おます,消えます,消あます,消うます,B
156,ます,押す,押さます,押せます,押します,押すます,C
157,ます,引く,引きます,引くます,引くます,引かます,A
158,ます,乗る,乗らます,乗ります,乗れます,乗るます,B
159,ます,降りる,降れます,降ります,降ろます,降らます,B
160,ます,着る,着ます,着ります,着らます,着れます,A
161,ます,脱ぐ,脱がます,脱げます,脱ぎます,脱ごます,C
162,ます,洗う,洗います,洗うます,洗おます,洗らます,A
163,ます,掃除する,掃除さる,掃除する,掃除すます,掃除します,D
164,ます,洗濯する,洗濯さます,洗濯します,洗濯すます,洗濯せます,B
165,ます,晴れる,晴らます,晴るます,晴れます,晴ります,C
166,ます,降る,降らます,降ります,降るます,降るます,B
167,ます,いる（要る）,いります,います,いらます,いろます,A
168,ます,始まる,始まらます,始みります,始まります,始まらます,C
169,ます,終わる,終わります,終わらます,終わるます,終わろます,A
170,ます,返す,返すます,返すります,返します,返さます,C
171,ます,帰る,帰らます,帰ります,帰るます,帰ろます,B
172,ます,撮る,撮ります,撮らます,撮ろます,撮れます,A
173,ます,取る,取ろます,取るます,取らます,取ります,D
174,ます,持つ,持ずます,持ちます,持じゅます,持ぞます,B
175,ます,持って行く,持っと行きます,持った行きます,持って行きます,持って行もきます,C
176,ます,持って来る,持っと来ます,持って来ます,持った来ます,持っつ来ます,B
177,ます,分かれる,分かるます,分かります,分からます,分かれます,D
178,ます,困る,困れます,困ろます,困ります,困らます,C
179,ます,死ぬ,死ねます,死にます,死にねます,死えにます,B
180,ます,曲がる,曲がらます,曲がれます,曲ごります,曲がります,D
181,ます,開ける,開れます,開けくます,開けます,開きます,C
182,ます,閉める,閉めます,閉めみます,閉めまます,閉もます,A
183,ます,押す,押します,押すます,押すします,押せます,A
184,ます,鳴く,鳴ききます,鳴きます,鳴かます,鳴きかきます,B
185,ます,笑う,笑ます,笑います,笑うます,笑あます,B
186,ます,泣く,泣きます,泣じます,泣かます,泣きけます,A
187,ます,探す,探すます,探せます,探さます,探します,D
188,ます,住む,住みみます,住みます,住むます,住めます,B
189,ます,吸う,吸えます,吸いいます,吸います,吸ます,C
190,ます,使う,使います,使ます,使えます,使おます,A
191,ます,聞こえる,聞こうます,聞こいます,聞こえます,聞こます,C
192,ます,見える,見うます,見うます,見います,見えます,D
193,ます,立てる,立ています,立てます,立てうます,立ておます,B
194,ます,入れる,入れうます,入れいます,入れます,入ります,C
195,ます,出す,出せます,出すます,出します,出さます,C
196,ます,消す,消します,消さます,消せます,消すます,A
197,ます,見つける,見ちけます,見つかます,見つきます,見つけます,D
198,ます,かかる,かからます,かかります,かかるます,かかろます,B
199,ます,要る,いれます,いうます,いります,いらます,C
200,ます,頑張る,頑張れます,頑張ります,頑張るます,頑張らます,B
201,ます,練習する,練習します,練習すます,練習せます,練習さます,A
202,ます,散歩する,散歩さます,散歩せます,散歩すます,散歩します,D
203,ます,結婚する,結婚すます,結婚そます,結婚します,結婚せます,C
204,ます,旅行する,旅行すます,旅行さます,旅行せます,旅行します,D
205,ます,有る,あれます,あります,あらます,あるます,B
206,ます,成る,なろます,ならます,なります,なれます,C
207,て,ある,あて,あって,あんで,あえて,B
208,て,いる,いんで,いえて,いて,いって,C
209,て,行く,行って,行て,行えて,行んで,A
210,て,来る,来て,来いて,来って,来んで,A
211,て,帰る,帰て,帰って,帰いて,帰んで,B
212,て,見る,見んで,見って,見て,見いて,C
213,て,聞く,聞んで,聞って,聞て,聞いて,D
214,て,話す,話いて,話って,話して,話んで,C
215,て,言う,言えて,言いて,言って,言んで,C
216,て,読む,読って,読で,読んて,読んで,D
217,て,書く,書いて,書んで,書って,書て,A
218,て,食べる,食んで,食べて,食いて,食って,B
219,て,飲む,飲んで,飲んで,飲んで,飲んで,A
220,て,寝る,寝て,寝って,寝いて,寝んで,A
221,て,起きる,起きんで,起きって,起きいて,起きて,D
222,て,する,しんで,しって,して,しいて,C
223,て,勉強する,勉強しって,勉強しんで,勉強して,勉強しいて,C
224,て,働く,働いって,働いて,働いんで,働いで,B
225,て,休む,休んで,休んっで,休んして,休んて,A
226,て,会う,会て,会って,会っで,会いて,B
227,て,買う,買いて,買いって,買って,買いんで,C
228,て,売る,売いて,売って,売て,売んて,B
229,て,作る,作って,作いて,作て,作んて,A
230,て,使う,使いて,使て,作んて,使って,D
231,て,泳ぐ,泳いて,泳で,泳いで,泳っで,C
232,て,遊ぶ,遊て,遊んで,遊で,遊っで,B
233,て,歌う,歌て,歌って,歌んで,歌いて,B
234,て,待つ,待って,待て,待いて,待んで,A
235,て,立つ,立いて,立って,立て,立んで,B
236,て,座る,座いて,座て,座って,座んで,C
237,て,歩く,歩て,歩いて,歩って,歩んで,B
238,て,走る,走て,走いて,走って,走んで,C
239,て,入る,入て,入んで,入いて,入って,D
240,て,出る,出て,出いて,出んで,出って,A
241,て,開ける,開けいて,開けて,開けんで,開けって,B
242,て,開く,開て,開いて,開って,開んで,C
243,て,閉める,閉って,閉めんで,閉めて,閉めって,C
244,て,閉まる,閉まいて,閉まって,閉まんで,閉まて,B
245,て,見せる,見せって,見せて,見せんで,見せいて,B
246,て,貸す,貸して,貸しって,貸しんで,貸しいて,A
247,て,借りる,借りいて,借りんで,借りって,借りて,D
248,て,教える,教えいて,教えんで,教えって,教えて,D
249,て,習う,習って,習いて,習て,習んで,A
250,て,分かる,分かて,分かって,分かいて,分かんで,B
251,て,分ける,分けて,分けって,分けんで,分けいて,A
252,て,忘れる,忘れって,忘れいて,忘れて,忘れんで,C
253,て,覚える,覚えんで,覚えいて,覚えて,覚えって,C
254,て,要る,要んで,要いて,要て,要って,D
255,て,置く,置いて,置て,置んで,置いって,A
256,て,切る,切て,切って,切んで,切いて,B
257,て,消す,消しんで,消して,消しいて,消しって,B
258,て,消える,消えんで,消えいて,消えて,消えって,C
259,て,押す,押んで,押しいて,押して,押しって,C
260,て,引く,引いて,引て,引って,引んで,A
261,て,乗る,乗んで,乗って,乗て,乗いて,B
262,て,降りる,降りんで,降りいて,降りて,降りって,C
263,て,着る,着いて,着て,着んで,着って,B
264,て,脱ぐ,脱って,脱て,脱いて,脱いで,D
265,て,洗う,洗んで,洗いて,洗て,洗って,D
266,て,掃除する,掃除して,掃除しいて,掃除て,掃除しいて,A
267,て,洗濯する,洗濯しって,洗濯して,洗濯て,洗濯んで,B
268,て,晴れる,晴れって,晴れて,晴れんで,晴れいて,B
269,て,降る,降いて,降て,降って,降んで,C
270,て,いる（要る）,いっで,いんで,いて,いって,D
271,て,始まる,始まて,始まって,始まいて,始まんで,B
272,て,終わる,終わって,終わて,終わんて,終わいて,A
273,て,返す,返しいて,返しって,返して,返んで,C
274,て,帰る,帰て,帰んて,帰って,帰いて,C
275,て,撮る,撮って,撮て,撮いて,撮んで,A
276,て,取る,取って,取て,取いて,取んで,A
277,て,持つ,持んで,持て,持いて,持って,D
278,て,持って行く,持って行いて,持って行んで,持って行って,持って行て,C
279,て,持って来る,持って来って,持って来て,持って来いて,持って来んで,B
280,て,分かれる,分かれて,分かれって,分かれんで,分かれいて,A
281,て,困る,困んで,困って,困て,困いて,B
282,て,死ぬ,死って,死て,死んで,死いて,C
283,て,曲がる,曲がんで,曲がいて,曲がて,曲がって,D
284,て,開ける,開けて,開けって,開けんで,開けいて,A
285,て,閉める,閉めって,閉めて,閉めいて,閉めんで,B
286,て,押す,押いて,押しんで,押して,押しって,C
287,て,鳴く,鳴んで,鳴って,鳴て,鳴いて,D
288,て,笑う,笑て,笑いて,笑って,笑んで,C
289,て,泣く,泣て,泣いて,泣って,泣んで,B
290,て,探す,探して,探て,探しって,探しんで,A
291,て,住む,住んて,住んで,住んって,住んして,B
292,て,吸う,吸て,吸いて,吸って,吸んで,C
293,て,使う,使いて,使て,使って,使んで,C
294,て,聞こえる,聞こえんで,聞こえいて,聞こえって,聞こえて,D
295,て,見える,見えいて,見えって,見えて,見えんで,C
296,て,立てる,立てって,立てて,立ていて,立てんで,B
297,て,入れる,入れて,入れって,入れんで,入れいて,A
298,て,出す,出して,出しって,出て,出いて,A
299,て,消す,消いて,消って,消して,消て,C
300,て,見つける,見つけいて,見つけって,見つけて,見つけして,C
301,て,かかる,かかんで,かかいて,かかて,かかって,D
302,て,要る,要って,要て,要いて,要して,A
303,て,頑張る,頑張て,頑張って,頑張んで,頑張いて,B
304,て,練習する,練習って,練習しいて,練習して,練習て,C
305,て,散歩する,散歩して,散歩いて,散歩んで,散歩んで,A
306,て,結婚する,結婚しって,結婚して,結婚いて,結婚しんで,B
307,て,旅行する,旅行しって,旅行して,旅行いて,旅行んで,B
308,て,有る,有いて,有んで,有て,有って,D
309,て,成る,成って,成て,成いて,成んで,A
310,た,ある,あてた,あった,あんだ,あえた,B
311,た,いる,いんだ,いえた,いた,いった,C
312,た,行く,行った,行てた,行えた,行んだ,A
313,た,来る,来た,来いた,来った,来んだ,A
314,た,帰る,帰てた,帰った,帰いた,帰んだ,B
315,た,見る,見んだ,見った,見た,見いた,C
316,た,聞く,聞んだ,聞った,聞てた,聞いた,D
317,た,話す,話いた,話った,話した,話んだ,C
318,た,言う,言えた,言いた,言った,言んだ,C
319,た,読む,読った,読でた,読んた,読んだ,D
320,た,書く,書いた,書んだ,書った,書てた,A
321,た,食べる,食んだ,食べた,食いた,食った,B
322,た,飲む,飲んだ,飲んだ,飲んだ,飲んだ,A
323,た,寝る,寝た,寝った,寝いた,寝んだ,A
324,た,起きる,起きんだ,起きった,起きいた,起きた,D
325,た,する,しんだ,しった,した,しいた,C
326,た,勉強する,勉強しった,勉強しんだ,勉強した,勉強しいた,C
327,た,働く,働いって,働いた,働いんだ,働いだ,B
328,た,休む,休んだ,休んった,休んした,休んてた,A
329,た,会う,会んた,会った,会た,会いた,B
330,た,買う,買いた,買いった,買った,買んだ,C
331,た,売る,売いた,売った,売てた,売んた,B
332,た,作る,作った,作いた,作てた,作んた,A
333,た,使う,使いた,使てた,作んた,使った,D
334,た,泳ぐ,泳いた,泳でた,泳いだ,泳った,C
335,た,遊ぶ,遊てた,遊んだ,遊でた,遊った,B
336,た,歌う,歌てた,歌った,歌んだ,歌いた,B
337,た,待つ,待った,待てた,待いた,待んだ,A
338,た,立つ,立いた,立った,立てた,立んだ,B
339,た,座る,座いた,座てた,座った,座んだ,C
340,た,歩く,歩てた,歩いた,歩った,歩んだ,B
341,た,走る,走てた,走いた,走った,走んだ,C
342,た,入る,入てた,入んだ,入いた,入った,D
343,た,出る,出た,出いた,出んだ,出った,A
344,た,開ける,開けいた,開けた,開けんだ,開けった,B
345,た,開く,開てた,開いた,開った,開んだ,C
346,た,閉める,閉った,閉めんだ,閉めた,閉めった,C
347,た,閉まる,閉まいた,閉まった,閉まんだ,閉まてた,B
348,た,見せる,見せった,見せた,見せんだ,見せいた,B
349,た,貸す,貸した,貸しった,貸しんだ,貸しいた,A
350,た,借りる,借りいた,借りんだ,借りった,借りた,D
351,た,教える,教えいた,教えんだ,教えった,教えた,D
352,た,習う,習った,習いた,習てた,習んだ,A
353,た,分かる,分かてた,分かった,分かいた,分かんだ,B
354,た,分ける,分けた,分けった,分けんだ,分けいた,A
355,た,忘れる,忘れった,忘れいた,忘れた,忘れんだ,C
356,た,覚える,覚えんだ,覚えいた,覚えた,覚えった,C
357,た,要る,要んだ,要いた,要てた,要った,D
358,た,置く,置いた,置てた,置んだ,置いった,A
359,た,切る,切てた,切った,切んだ,切いた,B
360,た,消す,消しんだ,消した,消しいた,消しった,B
361,た,消える,消えんだ,消えいた,消えた,消えった,C
362,た,押す,押んだ,押いいた,押した,押した,C
363,た,引く,引いた,引てた,引った,引んだ,A
364,た,乗る,乗んだ,乗った,乗てた,乗いた,B
365,た,降りる,降りんだ,降りいた,降りた,降りった,C
366,た,着る,着いた,着た,着んだ,着った,B
367,た,脱ぐ,脱った,脱てた,脱いた,脱いだ,D
368,た,洗う,洗んだ,洗いた,洗てた,洗った,D
369,た,掃除する,掃除した,掃除しいた,掃除てた,掃除しいた,A
370,た,洗濯する,洗濯しった,洗濯した,洗濯てた,洗濯んだ,B
371,た,晴れる,晴れった,晴れた,晴れんだ,晴れいた,B
372,た,降る,降いた,降てた,降った,降んだ,C
373,た,いる（要る）,いっだ,いんだ,いた,いった,D
374,た,始まる,始まてた,始まった,始まいた,始まんだ,B
375,た,終わる,終わった,終わてた,終わんだ,終わいた,A
376,た,返す,返しいた,返しった,返した,返んだ,C
377,た,帰る,帰てた,帰んだ,帰った,帰いた,C
378,た,撮る,撮った,撮てた,撮いた,撮んだ,A
379,た,取る,取った,取てた,取いた,取んだ,A
380,た,持つ,持んだ,持てた,持いた,持った,D
381,た,持って行く,持って行いた,持って行んだ,持って行った,持って行てた,C
382,た,持って来る,持って来た,持って来った,持って来いた,持って来んだ,B
383,た,分かれる,分かれた,分かれった,分かれんだ,分かれいた,A
384,た,困る,困んだ,困った,困てた,困いた,B
385,た,死ぬ,死った,死てた,死んだ,死いた,C
386,た,曲がる,曲がんだ,曲がいた,曲がてた,曲がった,D
387,た,開ける,開けた,開けった,開けんだ,開けいた,A
388,た,閉める,閉めった,閉めた,閉めいた,閉めんだ,B
389,た,押す,押いた,押しんだ,押した,押しった,C
390,た,鳴く,鳴んだ,鳴った,鳴てた,鳴いた,D
391,た,笑う,笑てた,笑いた,笑った,笑んだ,C
392,た,泣く,泣てた,泣いた,泣った,泣んだ,B
393,た,探す,探した,探てた,探しった,探しんだ,A
394,た,住む,住んた,住んだ,住んった,住んした,B
395,た,吸う,吸てた,吸いた,吸った,吸んだ,C
396,た,使う,使いた,使てた,使った,使んだ,C
397,た,聞こえる,聞こえんだ,聞こえいた,聞こえった,聞こえた,D
398,た,見える,見えいた,見えった,見えた,見えんだ,C
399,た,立てる,立てった,立てた,立ていた,立てんだ,B
400,た,入れる,入れた,入れった,入れんだ,入れいた,A
401,た,出す,出した,出しった,出てた,出いた,A
402,た,消す,消いた,消った,消した,消てた,C
403,た,見つける,見つけいた,見つけった,見つけた,見つけした,C
404,た,かかる,かかんだ,かかいた,かかてた,かかった,D
405,た,要る,いった,要てた,要いた,要した,A
406,た,頑張る,頑張てた,頑張った,頑張んだ,頑張いた,B
407,た,練習する,練習った,練習しいた,練習した,練習てた,C
408,た,散歩する,散歩した,散歩いた,散歩んだ,散歩んだ,A
409,た,結婚する,結婚しった,結婚した,結婚いた,結婚しんだ,B
410,た,旅行する,旅行しった,旅行した,旅行いた,旅行んだ,B
411,た,有る,有いた,有んだ,有てた,有った,D
412,た,成る,なった,成てた,成いた,成んだ,A
413,ない,ある,あるない,ない,あらない,ありない,B
414,ない,いる,いらない,いりない,いない,いるない,C
415,ない,行く,行きない,行かない,行けない,行こない,B
416,ない,来る,来ない,来れない,来らない,来るない,A
417,ない,見る,見えなない,見まない,見ない,見らない,C
418,ない,食べる,食べまない,食べない,食べらない,食べるない,B
419,ない,飲む,飲めない,飲まない,飲みない,飲もなない,B
420,ない,寝る,寝えなない,寝まない,寝らない,寝ない,D
421,ない,する,すらない,するない,しない,せない,C
422,ない,勉強する,勉強すらない,勉強しない,勉強せない,勉強するない,B
423,ない,働く,働こない,働きない,働かない,働けない,C
424,ない,会う,会えない,会わない,会おない,会いない,B
425,ない,買う,買わない,買おない,買えない,買いない,A
426,ない,売る,売ろなない,売れない,売らない,売りない,C
427,ない,使う,使いない,使まない,使えない,使わない,D
428,ない,泳ぐ,泳ぎない,泳がない,泳げない,泳ごなない,B
429,ない,待つ,待てない,待つない,待たない,待ちない,C
430,ない,立つ,立となない,立ちない,立てない,立たない,D
431,ない,座る,座れない,座ろない,座りない,座らない,D
432,ない,走る,走ろない,走らない,走りない,走れない,B
433,ない,出る,出まない,出らない,出えなない,出ない,D
434,ない,開ける,開けるない,開けまない,開けらない,開けない,D
435,ない,閉める,閉めえなない,閉めない,閉めまない,閉めらない,B
436,ない,閉まる,閉まりない,閉まろなない,閉まれない,閉まらない,D
437,ない,貸す,貸さない,貸せない,貸しなない,貸そない,A
438,ない,借りる,借りまない,借りない,借りらない,借りるない,B
439,ない,教える,教えまない,教えるなない,教えない,教えらない,C
440,ない,分かる,分かろない,分からない,分かれない,分かりない,B
441,ない,忘れる,忘れまない,忘れるなない,忘れない,忘れらない,C
442,ない,要る,いらない,要りない,要らない,要ろない,A
443,ない,帰る,帰れない,帰らない,帰りない,帰ろない,B
444,ない,見る,見まない,見えない,見ない,見らない,C
445,ない,聞く,聞きない,聞かない,聞けない,聞こない,B
446,ない,話す,話しなない,話そない,話せない,話さない,D
447,ない,言う,言いなない,言わない,言えない,言わなない,B
448,ない,読む,読めない,読みない,読まない,読もなない,C
449,ない,書く,書こない,書きない,書けない,書かない,D
450,ない,食べる,食べらない,食べない,食べるない,食べまない,B
451,ない,寝る,寝まない,寝ない,寝らない,寝えなない,B
452,ない,起きる,起きない,起きまない,起きらない,起きるない,A
453,ない,働く,働けない,働きない,働かない,働こない,C
454,ない,休む,休めない,休みない,休まない,休もなない,C
455,ない,会う,会いなない,会おない,会えない,会わない,D
456,ない,売る,売りない,売れない,売ろなない,売らない,D
457,ない,作る,作りない,作らない,作れない,作ろない,B
458,ない,泳ぐ,泳ぎない,泳がない,泳げない,泳ごない,B
459,ない,歌う,歌わない,歌えない,歌おない,歌いない,A
460,ない,待つ,待てない,待ちない,待つない,待たない,D
461,ない,立つ,立ちない,立となない,立てない,立たない,D
462,ない,座る,座りない,座ろない,座れない,座らない,D
463,ない,歩く,歩こない,歩かない,歩きない,歩けない,B
464,ない,走る,走りない,走ろない,走れない,走らない,D
465,ない,入る,入れない,入りない,入らない,入ろない,C
466,ない,出る,出まない,出らない,出ない,出るなない,C
467,ない,開ける,開けまない,開けらない,開けない,開けるない,C
468,ない,開く,開きない,開けない,開かない,開こない,C
