question_number,question,choice_a,choice_b,choice_c,choice_d,answer
93,かかる,かかれば,かかりば,かかったら,かかるば,A
94,頑張る,頑張りば,頑張れば,頑張ったら,頑張るば,B
95,練習する,練習したば,練習しらば,練習すれば,練習するば,C
96,散歩する,散歩しらば,散歩したば,散歩するば,散歩すれば,D
97,結婚する,結婚すれば,結婚するば,結婚したば,結婚しらば,A
98,旅行する,旅行したば,旅行すれば,旅行するば,旅行しらば,B
99,有る,有ったら,有るば,有れば,有れれば,C
100,成る,成りば,成ったら,成るば,成れば,D
101,要る,要れば,要りば,要ったら,要るば,A
102,頑張る,頑張りば,頑張れば,頑張ったら,頑張るば,B
103,練習する,練習したば,練習しらば,練習すれば,練習するば,C
104,散歩する,散歩しらば,散歩したば,散歩するば,散歩すれば,D
105,結婚する,結婚すれば,結婚するば,結婚したば,結婚しらば,A
106,旅行する,旅行したば,旅行すれば,旅行するば,旅行しらば,B
107,有る,有ったら,有るば,有れば,有れれば,C
108,成る,成りば,成ったら,成るば,成れば,D
