question,choice_a,choice_b,choice_c,choice_d,answer
要る,要れる,要らせる,要りられる,要られる,D
置く,置かれる,置ける,置かせる,置きられる,A
切る,切れる,切られる,切らせる,切りられる,B
消す,消せる,消させば,消される,消しられる,C
消える,消えれる,消えさせる,消えらる,消えられる,D
押す,押される,押せる,押させる,押しられる,A
引く,引ける,引かれる,引かせる,引きられる,B
乗る,乗れる,乗らせる,乗られる,乗りられる,C
降りる,降りれる,降りさせる,降りられるれる,降りられる,D
着る,着られる,着れる,着させる,着らる,A
脱ぐ,脱げる,脱がれる,脱がせる,脱ぎられる,B
洗う,洗える,洗わせる,洗われる,洗いられる,C
掃除する,掃除できる,掃除させる,掃除しられる,掃除される,D
洗濯する,洗濯される,洗濯できる,洗濯させる,洗濯しられる,A
晴れる,晴れられる,晴れれる,晴れさせる,晴れらる,A
降る,降れる,降られる,降らせる,降りられる,B
始まる,始まられる,始まれる,始まらせる,始まりられる,A
終わる,終われる,終わらせる,終わられる,終わりられる,C
返す,返される,返せる,返させる,返しられる,A
撮る,撮られる,撮れる,撮らせる,撮りられる,A
取る,取れる,取られる,取らせる,取りられる,B
持つ,持てる,持たれる,持たせる,持ちられる,B
持って行く,持って行かれる,持って行ける,持って行かせる,持って行きられる,A
持って来る,持って来れる,持って来られる,持って来させる,持って来らる,B
分かれる,分かれれる,分かれさせる,分かれられる,分かれられるれる,C
困る,困られる,困れる,困らせる,困りられる,A
死ぬ,死ねる,死なれる,死なせる,死にられる,B
曲がる,曲がれる,曲がらせる,曲がられる,曲がりられる,C
鳴く,鳴ける,鳴かせる,鳴かれる,鳴きられる,C
笑う,笑える,笑わせる,笑いられる,笑われる,D
泣く,泣かれる,泣ける,泣かせる,泣きられる,A
探す,探せる,探される,探させる,探しられる,B
住む,住める,住ませる,住まれる,住みられる,C
吸う,吸える,吸わせる,吸いられる,吸われる,D
聞こえる,聞こえれる,聞こえられる,聞こえさせる,聞こえらる,B
見える,見えれる,見えられる,見えさせる,見えらる,C
立てる,立てれる,立てさせる,立てられるれる,立てられる,D
入れる,入れられる,入れれる,入れさせる,入れられるれる,A
出す,出せる,出される,出させる,出しられる,B
見つける,見つけれる,見つけさせる,見つけられるれる,見つけられる,D
かかる,かかられる,かかれる,かからせる,かかりられる,A
頑張る,頑張れる,頑張らせる,頑張られる,頑張りられる,C
練習する,練習できる,練習させる,練習しられる,練習される,D
散歩する,散歩される,散歩できる,散歩させる,散歩しられる,A
結婚する,結婚できる,結婚される,結婚させる,結婚しられる,B
旅行する,旅行できる,旅行させる,旅行される,旅行しられる,C
有る,有れる,有らせる,有りられる,荒れる,D
成る,成られる,成れる,成らせる,成りられる,A
要る,要れる,要られる,要らせる,要りられる,B
頑張る,頑張れる,頑張らせる,頑張られる,頑張りられる,C
練習する,練習できる,練習させる,練習しられる,練習される,D
散歩する,散歩される,散歩できる,散歩させる,散歩しられる,A
結婚する,結婚できる,結婚される,結婚させる,結婚しられる,B
旅行する,旅行できる,旅行させる,旅行される,旅行しられる,C
有る,有れる,有らせる,有りられる,荒れる,D
成る,成られる,成れる,成らせる,成りられる,A
