question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
[34],1,大山さんは からだが （　）ので、よく かぜを ひきます。,よわい,つよい,じょうぶな,げんきな,1
[35],1,さいふを おとして こまって いたら、（　）人が お金を かしてくれました。,しんせつな,ていねいな,べんりな,たいへんな,1
[36],1,高い 山に のぼると くうきが （　）なります。,あつく,うすく,さむく,おもく,2
[37],1,かみのけの ような （　）いとです。,まるい,ほそい,うすい,小さい,2
[38],1,ちょっと （　）から、電気を つけましょうか。,くろい,くらい,あかるい,かるい,2
[39],1,あしたまでに （　）この しごとを おわらせます。,ぜひ,どうも,ぜんぜん,かならず,4
[40],1,いそがしかったので、（　）ひるごはんを 食べて いません。,なかなか,まだ,もう,さっき,2
[41],1,いらっしゃいませ。（　）入って ください。,どうも,どうぞ,きっと,やっぱり,2
[42],1,いっしょうけんめい べんきょうしたから、あしたの しけんは （　）だいじょうぶでしょう。,どうも,たぶん,やはり,どうぞ,2
[43],1,おそくなって すみません。バスが （　）来なかったんです。,けっして,きっと,たぶん,なかなか,4
[44],1,午後から 雨が ふると 聞いて いましたが、（　）ふりはじめました。,きっと,たぶん,やはり,なかなか,3
[45],1,お世話に なりました。田中さんの ことは （　）わすれません。,ぜんぜん,とても,けっして,ほとんど,3
[46],1,どようびの ひこうきの きっぷは （　）なくなって しまいました。,ぜんぜん,あまり,もう,なかなか,3
[47],1,きのうの しけんは （　）むずかしく ありませんでした。,あまり,いつも,ずいぶん,よく,1
[48],1,（　）れんしゅうしても、じょうずに なりません。,ぜひ,いくら,ずっと,いつか,2
[49],1,バスが 出るまで （　）時間が あります。,もう,まだ,ちょうど,そろそろ,2
[50],1,（　）しゅくだいが おわりました。2時間も かかりました。,きっと,すぐ,もう,やっと,4
[51],1,わたしは まだ しごとが ありますから、（　）かえって ください。,あとで,これまで,さいきん,先に,4
[52],1,かべに （　）を かきました。,え,ペン,とけい,しゃしん,1
[53],1,毎日 （　）を つれて さんぽに 行きます。,じてんしゃ,いぬ,コート,ほうし,2
[54],1,とても つよい （　）が ふいて います。,雨,ゆき,かぜ,そら,3
[55],1,もうすぐ （　）が さきそうです。,はな,は,くさ,雨,1
[56],1,おさけに よわいので いつも （　）を のみます。,アルコール,ジュース,ガソリン,スポーツ,2
[57],1,田中さんは あの あかい （　）を して いる 人です。,セーター,シャツ,ネクタイ,スカート,3
[58],1,子どもが かいだんから （　）けがを しました。,おちて,おりて,たおれて,のって,1
[59],1,かべに 大きな カレンダーが （　）あります。,つけて,しめて,入って,かけて,4
[60],1,ちょっと おまちください。今、おちゃを （　）から。,つくります,入れます,もちます,わきます,4
[61],1,かぜを （　）ときは、むりを しないで ゆっくり 休んで ください。,ひいた,ふいた,なった,もった,1
[62],1,この へんは レストランや みせが おおいので、よるも （　）です。,おおい,にぎやか,げんき,じょうぶ,2
[63],1,山田さんは たいせつな いぬが しんだので、とても （　）そうです。,かなし,くるし,いた,うるさ,1
[64],1,この みちは いつも （　）、車が おおく ありません。,いそがしくて,はしって いて,すいて いて,こんで いて,3
[65],1,この みちは 車が おおいので、（　）です。,はやい,あぶない,いそがしい,あかるい,2
[66],1,わたしは おとうとより せが （　）です。,みじかい,ひくい,すくない,よわい,2
[67],1,つごうが （　）なら、らいしゅうに しましょう。,ふべん,わるい,きらい,いや,2
[68],1,あれは とても いい えいが なので （　）見て ください。,もし,けっして,どうも,ぜひ,4
[69],1,"一つ 250円ですから、四つで （　） 1,000円です。",たいてい,ほとんど,たぶん,ちょうど,4
[70],1,はるなのに とても あついです。なつの （　）です。,らしい,つもり,こと,よう,1
