question,choice_a,choice_b,choice_c,choice_d,answer
泳ぐ,泳ぎない,泳がない,泳げない,泳ごない,B
歌う,歌わない,歌えない,歌おない,歌いない,A
待つ,待てない,待ちない,待つない,待たない,D
立つ,立ちない,立となない,立てない,立たない,D
座る,座りない,座ろない,座れない,座らない,D
歩く,歩こない,歩かない,歩きない,歩けない,B
走る,走りない,走ろない,走れない,走らない,D
入る,入れない,入りない,入らない,入ろない,C
出る,出まない,出らない,出ない,出るなない,C
開ける,開けまない,開けらない,開けない,開けるない,C
開く,開きない,開けない,開かない,開こない,C
閉める,閉めらない,閉めまない,閉めるなない,閉めない,D
閉まる,閉まりない,閉まろない,閉まれない,閉まらない,D
見せる,見せない,見せまない,見せらない,見せるない,A
貸す,貸しなない,貸せない,貸そない,貸さない,D
借りる,借りまない,借りるない,借りない,借りらない,C
教える,教えまない,教えらない,教えるない,教えない,D
習う,習わない,習えない,習いない,習おない,A
分かる,分かりない,分かれない,分かろない,分からない,D
分ける,分けまない,分けらない,分けない,分けるない,C
忘れる,忘れまない,忘れない,忘れらない,忘れるなない,B
覚える,覚えまない,覚えない,覚えらない,覚えるない,B
置く,置こない,置きない,置けない,置かない,D
切る,切りない,切らない,切れない,切ろない,B
消す,消せない,消そない,消さない,消しなない,C
消える,消えない,消えまない,消えらない,消えるなない,A
押す,押しなない,押そない,押さない,押せない,C
引く,引こない,引けない,引きない,引かない,D
乗る,乗れない,乗ろない,乗らない,乗りない,C
降りる,降りまない,降りない,降りらない,降りるない,B
着る,着ない,着まない,着らない,着るない,A
脱ぐ,脱げない,脱ぎない,脱がない,脱ごない,C
洗う,洗えない,洗わない,洗いなない,洗おない,B
掃除する,掃除しない,掃除すらない,掃除せない,掃除するない,A
洗濯する,洗濯すらない,洗濯せない,洗濯するない,洗濯しない,D
晴れる,晴れまない,晴れない,晴れらない,晴れるなない,B
降る,降れない,降ろない,降らない,降りない,C
始まる,始まりない,始まろない,始まれない,始まらない,D
終わる,終われない,終わらない,終わりない,終わろない,B
返す,返せない,返そない,返しなない,返さない,D
撮る,撮りない,撮らない,撮れない,撮ろない,B
取る,取ろない,取らない,取りない,取れない,B
持つ,持ちない,持たない,持てない,持となない,B
持って行く,持って行けない,持って行かない,持って行きない,持って行こない,B
持って来る,持って来らない,持って来れない,持って来ない,持って来るない,D
分かれる,分かれまない,分かれらない,分かれない,分かれるない,C
困る,困らない,困れない,困りない,困ろない,A
死ぬ,死ねない,死なない,死にない,死ぬない,B
曲がる,曲がりない,曲がらない,曲がれない,曲がろない,B
鳴く,鳴こない,鳴きない,鳴かない,鳴けない,C
笑う,笑えない,笑わない,笑おない,笑いなない,B
泣く,泣けない,泣かない,泣きない,泣こない,B
探す,探さない,探せない,探しなない,探そない,A
住む,住めない,住みない,住まない,住もなない,C
吸う,吸えない,吸わない,吸いなない,吸おない,B
聞こえる,聞こえない,聞こえまない,聞こえらない,聞こえるなない,A
見える,見えるなない,見えまない,見えない,見えらない,C
立てる,立てない,立てまない,立てらない,立てるなない,A
入れる,入れまない,入れらない,入れない,入れるなない,D
出す,出せない,出しなない,出そない,出さない,D
見つける,見つけるなない,見つけまない,見つけない,見つけらない,C
かかる,かからない,かかれない,かかりない,かかろない,A
頑張る,頑張らない,頑張れない,頑張りない,頑張ろない,A
練習する,練習せない,練習すらない,練習するない,練習しない,D
散歩する,散歩すらない,散歩しない,散歩せない,散歩するない,B
結婚する,結婚するない,結婚しない,結婚すらない,結婚せない,B
旅行する,旅行せない,旅行するない,旅行すらない,旅行しない,D
成る,成らない,成れない,成りない,成ろない,A
